step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
  246  4.78933192E+01  8.78794331E-07  3.57746737E-04  2.10922167E-02  2.00000000E-01
  247  4.80933192E+01  8.74408027E-07  3.57570979E-04  2.10973999E-02  2.00000000E-01
  248  4.82933192E+01  8.70061246E-07  3.57396097E-04  2.11025609E-02  2.00000000E-01
  249  4.84933192E+01  8.65753474E-07  3.57222085E-04  2.11077001E-02  2.00000000E-01
  250  4.86933192E+01  8.61484205E-07  3.57048934E-04  2.11128176E-02  2.00000000E-01
  251  4.88933192E+01  8.57252943E-07  3.56876637E-04  2.11179135E-02  2.00000000E-01
  252  4.90933192E+01  8.53059197E-07  3.56705187E-04  2.11229881E-02  2.00000000E-01
  253  4.92933192E+01  8.48902489E-07  3.56534575E-04  2.11280414E-02  2.00000000E-01
  254  4.94933192E+01  8.44782346E-07  3.56364794E-04  2.11330738E-02  2.00000000E-01
  255  4.96933192E+01  8.40698303E-07  3.56195838E-04  2.11380853E-02  2.00000000E-01
  256  4.98933192E+01  8.36649903E-07  3.56027698E-04  2.11430761E-02  2.00000000E-01
  257  5.00933192E+01  8.32636698E-07  3.55860368E-04  2.11480464E-02  2.00000000E-01
  258  5.02933192E+01  8.28658244E-07  3.55693841E-04  2.11529963E-02  2.00000000E-01
  259  5.04933192E+01  8.24714109E-07  3.55528109E-04  2.11579260E-02  2.00000000E-01
  260  5.06933192E+01  8.20803863E-07  3.55363166E-04  2.11628357E-02  2.00000000E-01
  261  5.08933192E+01  8.16927088E-07  3.55199006E-04  2.11677255E-02  2.00000000E-01
  262  5.10933192E+01  8.13083368E-07  3.55035620E-04  2.11725956E-02  2.00000000E-01
  263  5.12933192E+01  8.09272297E-07  3.54873003E-04  2.11774461E-02  2.00000000E-01
  264  5.14933192E+01  8.05493475E-07  3.54711149E-04  2.11822772E-02  2.00000000E-01
  265  5.16933192E+01  8.01746507E-07  3.54550050E-04  2.11870890E-02  2.00000000E-01
  266  5.18933192E+01  7.98031006E-07  3.54389701E-04  2.11918816E-02  2.00000000E-01
  267  5.20933192E+01  7.94346591E-07  3.54230095E-04  2.11966553E-02  2.00000000E-01
  268  5.22933192E+01  7.90692885E-07  3.54071225E-04  2.12014102E-02  2.00000000E-01
  269  5.24933192E+01  7.87069519E-07  3.53913087E-04  2.12061464E-02  2.00000000E-01
  270  5.26933192E+01  7.83476129E-07  3.53755673E-04  2.12108640E-02  2.00000000E-01
  271  5.28933192E+01  7.79912358E-07  3.53598978E-04  2.12155632E-02  2.00000000E-01
  272  5.30933192E+01  7.76377853E-07  3.53442995E-04  2.12202441E-02  2.00000000E-01
  273  5.32933192E+01  7.72872266E-07  3.53287720E-04  2.12249070E-02  2.00000000E-01
  274  5.34933192E+01  7.69395257E-07  3.53133145E-04  2.12295518E-02  2.00000000E-01
  275  5.36933192E+01  7.65946488E-07  3.52979266E-04  2.12341787E-02  2.00000000E-01
  276  5.38933192E+01  7.62525629E-07  3.52826077E-04  2.12387879E-02  2.00000000E-01
  277  5.40933192E+01  7.59132354E-07  3.52673572E-04  2.12433795E-02  2.00000000E-01
  278  5.42933192E+01  7.55766341E-07  3.52521745E-04  2.12479536E-02  2.00000000E-01
  279  5.44933192E+01  7.52427275E-07  3.52370592E-04  2.12525104E-02  2.00000000E-01
  280  5.46933192E+01  7.49114844E-07  3.52220107E-04  2.12570500E-02  2.00000000E-01
  281  5.48933192E+01  7.45828741E-07  3.52070284E-04  2.12615725E-02  2.00000000E-01
  282  5.50933192E+01  7.42568663E-07  3.51921118E-04  2.12660780E-02  2.00000000E-01
  283  5.52933192E+01  7.39334315E-07  3.51772604E-04  2.12705666E-02  2.00000000E-01
  284  5.54933192E+01  7.36125402E-07  3.51624737E-04  2.12750385E-02  2.00000000E-01
  285  5.56933192E+01  7.32941635E-07  3.51477512E-04  2.12794939E-02  2.00000000E-01
  286  5.58933192E+01  7.29782731E-07  3.51330924E-04  2.12839327E-02  2.00000000E-01
  287  5.60933192E+01  7.26648409E-07  3.51184967E-04  2.12883552E-02  2.00000000E-01
